Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
SM 18:1/16:1,SM,TQC_3,701.5,1,184.1,1,Ion [184.100549/184.100549],5.52,2236684,45797,1
SM 18:1/16:1,SM,TQC_4,701.5,1,184.1,1,Ion [184.100549/184.100549],5.51,2055189,44989,1
SM 18:1/16:1,SM,TQC_5,701.5,1,184.1,1,Ion [184.100549/184.100549],5.51,2110575,45923,1
SM 18:1/16:1,SM,TQC_6,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,2142398,40483,1
SM 18:1/16:1,SM,TQC_7,701.5,1,184.1,1,Ion [184.100549/184.100549],5.53,2165180,48300,1
SM 18:1/16:1,SM,TQC_8,701.5,1,184.1,1,Ion [184.100549/184.100549],5.52,2283892,46849,1
SM 18:1/16:1,SM,TQC_9,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,2140455,40230,1
SM 18:1/16:1,SM,TQC_10,701.5,1,184.1,1,Ion [184.100549/184.100549],5.55,2253334,49253,1
SM 18:1/16:1,SM,TQC_11,701.5,1,184.1,1,Ion [184.100549/184.100549],5.56,2250238,50021,1
SM 18:1/16:1,SM,TQC_12,701.5,1,184.1,1,Ion [184.100549/184.100549],5.57,2273090,56955,1
SM 18:1/16:2,SM,S1A,609.5,1,184.1,1,Ion [184.100549/184.100549],5.47,87374,6480,1
SM 18:1/16:2,SM,S2A,609.5,1,184.1,1,Ion [184.100549/184.100549],5.44,130717,21965,1
